player_name,player_id,year,yearhidden,player_age,ab,pa,hit,single,double,triple,home_run,strikeout,walk,k_percent,bb_percent,batting_avg,slg_percent,on_base_percent,on_base_plus_slg,isolated_power,babip,xba,xslg,woba,xwoba,xobp,xiso,wobacon,xwobacon,bacon,xbacon,xbadiff,xslgdiff,wobadiff,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrel,barrel_batted_rate,solidcontact_percent,flareburner_percent,poorlyunder_percent,poorlytopped_percent,poorlyweak_percent,hard_hit_percent,avg_best_speed,avg_hyper_speed,z_swing_percent,z_swing_miss_percent,oz_swing_percent,oz_swing_miss_percent,oz_contact_percent,out_zone_swing_miss,out_zone_swing,out_zone_percent,out_zone,meatball_swing_percent,meatball_percent,pitch_count_offspeed,pitch_count_fastball,pitch_count_breaking,pitch_count,iz_contact_percent,in_zone_swing_miss,in_zone_swing,in_zone_percent,in_zone,edge_percent,edge,whiff_percent,swing_percent,pull_percent,straightaway_percent,opposite_percent,batted_ball,f_strike_percent,groundballs_percent,groundballs,flyballs_percent,flyballs,linedrives_percent,linedrives,popups_percent,popups,avg_swing_length,avg_swing_speed,blasts_contact,blasts_swing,squared_up_contact,squared_up_swing,swords,fast_swing_rate,b_total_pa,b_rbi,b_lob,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_ab_scoring,b_ball,b_called_strike,b_catcher_interf,b_foul,b_foul_tip,b_game,b_gnd_into_dp,b_gnd_into_tp,b_gnd_rule_double,b_hit_by_pitch,b_hit_ground,b_hit_fly,b_hit_into_play,b_hit_line_drive,b_hit_popup,b_out_fly,b_out_ground,b_out_line_drive,b_out_popup,b_intent_ball,b_intent_walk,b_interference,b_pinch_hit,b_pinch_run,b_pitchout,b_played_dh,b_sac_bunt,b_sac_fly,b_swinging_strike,r_caught_stealing_2b,r_caught_stealing_3b,r_caught_stealing_home,r_defensive_indiff,r_interference,r_pickoff_1b,r_pickoff_2b,r_pickoff_3b,r_run,r_stolen_base_2b,r_stolen_base_3b,r_stolen_base_home,b_total_ball,b_total_sacrifices,b_total_strike,b_total_swinging_strike,b_total_pitches,r_stolen_base_pct,r_total_pickoff,b_reached_on_error,b_walkoff,b_reached_on_int,pop_2b_sba_count,pop_2b_sba,pop_2b_sb,pop_2b_cs,pop_3b_sba_count,pop_3b_sba,pop_3b_sb,pop_3b_cs,exchange_2b_3b_sba,maxeff_arm_2b_3b_sba,n_outs_above_average,n_fieldout_5stars,n_opp_5stars,n_5star_percent,n_fieldout_4stars,n_opp_4stars,n_4star_percent,n_fieldout_3stars,n_opp_3stars,n_3star_percent,n_opp_2stars,n_2star_percent,n_fieldout_2stars,n_1star_percent,n_fieldout_1stars,n_opp_1stars,rel_league_reaction_distance,rel_league_burst_distance,rel_league_routing_distance,rel_league_bootup_distance,f_bootup_distance,n_bolts,hp_to_1b,sprint_speed
"Outman, James",681546,2024,2024,27,109,124,16,9,4,0,3,40,13,32.3,10.5,.147,.266,.250,0.516,0.119,.197,.212,.350,.241,.295,.307,.138,.282,.377,.232,.335,-0.065,-0.084,-0.054,87.2,14.4,39.1,4,5.8,11.6,23.2,29.0,21.7,8.7,37.7,100.196328,94.35092058,65.9,20.9,27.4,60.3,39.7,41,68,48.7,248,82.5,7.9,79,265,126,509,79.1,36,172,51.3,261,46.2,235,32.1,47.2,46.4,29.0,24.6,69,70.2,34.8,24,27.5,19,27.5,19,10.1,7,7.9,72.9,10.8,7.4,26.5,18.1,4,30.9,124,10,65,29,1,2,32,166,92,0,94,5,36,0,0,0,2,4,3,69,9,0,16,20,10,7,0,0,0,6,0,0,0,0,0,68,1,0,0,0,0,0,0,0,10,2,0,0,177,0,332,68,509,,0,0,0,0,,,,,,,,,,,3,0,3,0.0,1,1,100.0,4,5,80.0,6,100.0,6,100.0,3,3,-0.9,0.2,0.3,-0.4,33.9,,4.27,28.7
"Ramírez, José",608070,2024,2024,31,177,193,44,27,6,1,10,22,13,11.4,6.7,.249,.463,.301,0.764,0.214,.231,.242,.399,.329,.302,.301,.156,.346,.314,.280,.280,.007,.064,.027,89.3,19.7,32.5,12,7.6,8.9,17.2,35.7,26.8,3.2,35.7,99.090179872,93.773093077,69.2,10.3,32.3,26.4,73.6,34,129,51.3,400,75.0,7.2,157,362,218,780,89.7,27,263,48.7,380,46.0,359,15.6,50.3,45.2,34.4,20.4,157,51.0,32.5,51,33.1,52,23.6,37,10.8,17,7.3,71.2,15.7,13.8,35.9,31.6,5,19.5,193,38,76,82,1,7,48,265,108,0,174,8,44,2,0,1,1,13,10,157,21,0,42,38,15,17,0,2,0,0,0,1,9,0,2,48,1,0,0,0,0,0,0,0,28,6,1,0,280,2,500,48,780,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.36,27.9
"O'Hearn, Ryan",656811,2024,2024,30,96,109,28,19,3,1,5,10,13,9.2,11.9,.292,.500,.376,0.876,0.208,.284,.325,.650,.379,.440,.407,.325,.383,.458,.326,.364,-0.033,-0.150,-0.061,91.5,12.8,36.0,11,12.8,8.1,22.1,20.9,31.4,2.3,43.0,101.561548571,95.243290833,64.1,9.3,19.9,43.6,56.4,17,39,51.6,196,70.0,7.9,62,204,92,380,90.7,11,118,48.4,184,40.3,153,17.8,41.3,37.2,39.5,23.3,86,50.5,41.9,36,26.7,23,25.6,22,5.8,5,7.2,72.6,24.5,20.7,46.9,39.7,3,28.4,109,13,30,48,0,0,22,146,70,0,43,2,31,0,0,0,0,10,6,86,12,0,17,26,10,5,0,2,0,7,0,0,19,0,0,26,0,0,0,0,0,0,0,0,14,0,0,0,153,0,227,26,380,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.1,-0.6,0.7,-1,30.9,,4.53,27.2
"Benson, Will",666181,2024,2024,26,146,165,28,11,10,1,6,64,18,38.8,10.9,.192,.397,.285,0.682,0.205,.289,.206,.371,.303,.296,.298,.165,.449,.434,.341,.367,-0.014,.026,.007,89,13.7,37.8,11,13.4,4.9,25.6,23.2,26.8,6.1,48.8,100.873646098,94.929736951,70.5,29.0,22.5,60.0,40.0,45,75,48.7,334,88.1,6.1,90,391,153,685,71.0,72,248,51.3,352,40.1,275,36.2,47.2,52.4,28.0,19.5,82,60.0,41.5,34,32.9,27,23.2,19,2.4,2,7.8,71.9,11.2,7.3,25.0,16.2,5,20.1,165,14,49,58,3,8,23,249,99,0,124,16,43,2,0,0,1,6,8,82,14,0,19,28,5,2,0,0,0,2,0,0,1,0,0,100,3,0,0,0,0,1,1,0,15,7,1,0,263,0,422,100,685,,2,0,0,0,,,,,,,,,,,1,0,6,0.0,0,1,0.0,3,4,75.0,3,100.0,3,100.0,6,6,-0.3,-1.1,-0.3,-1.7,33.1,,4.39,28.5
"Crawford, J.P.",641487,2024,2024,29,86,98,17,13,1,1,2,18,11,18.4,11.2,.198,.302,.296,0.598,0.104,.227,.229,.349,.276,.302,.324,.120,.275,.313,.250,.290,-0.031,-0.047,-0.026,86.4,5.6,19.1,3,4.4,2.9,20.6,17.6,44.1,10.3,30.9,97.686291471,92.972247164,60.6,11.9,18.8,27.8,72.2,10,36,48.0,192,74.2,7.8,37,259,83,401,88.1,15,126,52.0,208,46.0,184,15.3,40.6,41.2,33.8,25.0,68,58.2,60.3,41,17.6,12,14.7,10,7.4,5,7.1,71.6,10.1,8.7,33.7,29.1,0,21.4,98,9,37,26,0,0,21,145,79,0,70,7,22,0,0,0,1,8,5,68,4,0,7,33,6,5,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,13,0,0,0,159,0,242,18,401,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.73,26.4
"Acuña Jr., Ronald",660670,2024,2024,26,158,185,39,30,6,0,3,46,24,24.9,13.0,.247,.342,.357,0.699,0.095,.330,.266,.423,.322,.353,.374,.157,.364,.416,.348,.377,-0.019,-0.081,-0.031,92.4,9.4,31.3,10,8.9,8.0,25.0,18.8,33.0,4.5,50.0,104.072826,96.645086727,71.7,24.7,23.2,45.3,54.7,39,86,49.5,371,85.5,7.3,88,486,133,749,75.3,67,271,50.5,378,44.5,333,29.7,47.7,42.0,34.8,23.2,112,66.5,50.9,57,19.6,22,25.0,28,4.5,5,7.6,76.7,18.6,13.6,28.9,21.2,8,72.3,185,11,62,54,2,14,35,285,90,0,139,10,40,4,0,1,3,15,5,112,19,0,17,42,9,5,0,0,0,0,0,0,0,0,0,93,1,1,0,0,0,3,1,0,34,10,4,0,302,0,447,93,749,,4,3,0,0,,,,,,,,,,,-1,0,7,0.0,0,1,0.0,0,1,0.0,1,0.0,0,100.0,6,6,-0.7,-0.4,0.7,-0.5,33.5,1,4.45,27.5
"Freeman, Freddie",518692,2024,2024,34,170,208,49,32,12,1,4,35,30,16.8,14.4,.288,.441,.404,0.845,0.153,.336,.286,.467,.371,.384,.407,.181,.391,.411,.355,.360,.002,-0.026,-0.013,89.1,16.9,49.3,14,10.1,10.1,25.4,28.3,20.3,5.8,42.8,100.474120435,94.705333333,74.3,18.7,27.6,29.7,70.3,35,118,52.4,428,85.7,7.7,89,452,200,817,81.3,54,289,47.6,389,41.5,339,22.1,49.9,36.2,36.2,27.5,138,59.5,31.9,44,34.8,48,31.9,44,1.4,2,6.8,70.0,11.8,9.7,30.4,25.0,4,12.5,208,24,87,75,1,1,54,275,95,0,180,10,47,4,0,0,5,13,10,138,26,0,38,31,18,2,0,4,0,1,0,0,0,0,3,76,1,0,0,0,0,0,0,0,27,1,0,0,314,3,503,76,817,,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.64,26.2
"Ruiz, Keibert",660688,2024,2024,25,95,100,14,11,1,0,2,17,3,17.0,3.0,.147,.221,.190,0.411,0.074,.158,.210,.301,.188,.244,.249,.091,.196,.267,.179,.255,-0.063,-0.080,-0.056,86,19.5,28.2,2,2.6,3.8,29.5,35.9,25.6,2.6,26.9,95.726824103,91.87190859,64.7,6.4,37.1,26.1,73.9,18,69,52.2,186,75.9,8.1,75,181,91,356,93.6,7,110,47.8,170,47.2,168,14.0,50.3,38.5,43.6,17.9,78,64.0,38.5,30,25.6,20,20.5,16,15.4,12,7,65.6,4.5,4.0,36.0,31.7,3,0.8,100,6,52,21,0,0,21,100,67,0,76,2,25,3,0,0,2,4,2,78,7,1,18,26,9,11,0,0,0,0,0,0,3,0,0,21,0,0,0,0,0,0,0,0,5,0,0,0,110,0,246,21,356,,0,0,0,0,12,2.13,2.12,2.18,2,1.62,1.6,1.65,0.74,78.5,,,,,,,,,,,,,,,,,,,,,,,,24.4
"Rocchio, Brayan",677587,2024,2024,23,120,140,25,17,8,0,0,25,16,17.9,11.4,.208,.275,.302,0.577,0.067,.258,.239,.322,.268,.295,.330,.083,.262,.301,.258,.297,-0.031,-0.047,-0.027,85.9,8.3,35.7,3,3.1,4.1,27.6,24.5,32.7,7.1,23.7,96.013717872,92.127569468,72.0,18.6,29.5,38.5,56.4,30,78,51.0,264,80.5,7.9,94,261,132,519,80.9,34,183,49.0,254,42.3,219,24.4,50.5,36.7,38.8,24.5,98,68.6,48.0,47,19.4,19,24.5,24,8.2,8,7.3,69.2,7.4,5.8,32.4,25.1,2,2.1,140,7,57,33,2,7,31,173,72,0,95,9,38,3,0,0,1,7,3,98,14,1,16,40,10,7,0,0,0,0,1,0,0,1,2,52,2,0,0,0,0,0,0,0,19,7,0,0,185,3,334,52,519,,0,2,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.6,26.7
"Ohtani, Shohei",660271,2024,2024,29,179,205,64,34,16,1,13,40,23,19.5,11.2,.358,.676,.426,1.102,0.318,.398,.368,.731,.469,.492,.441,.364,.565,.599,.454,.475,-0.010,-0.055,-0.023,95,13.6,45.4,32,22.7,12.8,21.3,15.6,23.4,4.3,61.7,106.860918732,98.776244681,65.3,21.7,26.7,35.9,64.1,42,117,53.0,439,81.8,5.3,135,441,179,828,78.3,55,254,47.0,389,42.6,353,26.1,44.8,43.3,30.5,26.2,141,54.1,34.8,49,27.7,39,34.0,48,3.5,5,7.5,75.3,28.0,20.6,40.3,29.8,3,55.2,205,32,82,121,0,11,47,302,130,1,133,13,45,4,0,2,0,15,15,141,34,0,24,34,14,5,0,0,0,4,0,0,45,0,2,82,0,0,0,1,0,0,0,0,36,11,0,0,327,2,501,82,828,,0,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,4.13,28.0
"Ozuna, Marcell",542303,2024,2024,33,151,172,49,30,7,0,12,39,20,22.7,11.6,.325,.609,.401,1.010,0.284,.366,.332,.674,.433,.454,.410,.341,.539,.570,.434,.448,-0.007,-0.065,-0.021,93.2,15.7,44.2,19,16.8,13.3,28.3,17.7,21.2,2.7,54.9,103.031531754,96.646777611,75.2,21.7,28.8,52.2,47.8,59,113,56.2,393,79.5,6.3,95,384,145,699,78.3,50,230,43.8,306,39.5,276,31.8,49.1,41.6,34.5,23.9,113,59.1,33.6,38,32.7,37,28.3,32,5.3,6,7.4,74.6,21.4,14.9,34.5,24.1,2,47.7,172,41,63,92,0,0,48,242,86,0,121,7,41,3,0,0,0,12,15,113,22,0,22,26,10,6,0,1,0,0,0,0,41,0,1,98,0,0,0,0,0,0,0,0,24,0,0,0,270,1,429,98,699,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.91,24.9
"Carpenter, Kerry",681481,2024,2024,26,123,136,34,17,9,3,5,31,7,22.8,5.1,.276,.520,.328,0.848,0.244,.330,.275,.559,.366,.376,.328,.284,.452,.465,.366,.364,.001,-0.039,-0.010,88,16.4,38.7,14,15.1,5.4,20.4,24.7,28.0,6.5,46.2,100.402195319,94.436352688,66.5,14.5,31.5,45.7,54.3,37,81,50.9,257,76.6,9.3,103,222,131,505,85.5,24,165,49.1,248,42.8,216,24.8,48.7,39.8,32.3,28.0,93,60.3,39.8,37,34.4,32,19.4,18,6.5,6,7.5,71.9,14.0,10.9,31.3,24.4,1,15.0,136,22,61,64,0,0,40,153,85,2,92,5,41,1,0,0,3,6,15,93,13,0,17,31,5,6,0,0,0,12,0,0,13,0,1,51,0,0,0,0,0,0,0,0,15,0,0,0,174,1,331,51,505,,0,0,0,2,,,,,,,,,,,1,0,4,0.0,1,2,50.0,1,1,100.0,3,100.0,3,100.0,2,2,-0.5,2.4,0.3,2.2,34.4,,4.4,27.6
